segment	best	score
(Interreg VI-A) France-Germany-Switzerland (Upper Rhine)	(Interreg VI-A) Italy-Switzerland	67
The evaluation shall be based on a cost-benefit analysis.	The selection shall be based on the following criteria:	62
Fisheries-specific data and information	[Member State-specific information]	65
B30 Credit-related guarantees and credit insurance contracts that require payment, even if the policyholder has not incurred a loss on the failure of the debtor to make payments when due, are outside the scope of IFRS 17 because they do not transfer significant insurance risk.	credit-related guarantees that require payments even if the holder has not incurred a loss on the failure of the debtor to make payments when due; such contracts are accounted for applying IFRS 9 Financial Instruments (see paragraph B29);	69
As explained in recital (184), as provided in Article 6 (1) of the basic Regulation, information relating to a period subsequent to the investigation period shall, normally, not be taken into account.	As explained in recital (15) above, the reference to Article 6 (1) of the basic Regulation is irrelevant for the data used in the request, since it refers to the period used during the investigation, not the request.	65
From the south-western edge of the bridge leading to/from the Wedenkamp in Elmshorn to the mouth in the Elbe	From the north edge of the Salztor lock in Stade to the mouth in the Elbe	66
the corresponding weighted average prices of non-galvanised WPT produced in Belarus and sold to Russia, established on a CIF basis, with appropriate adjustments for customs duties and post-importation costs.	the corresponding weighted average prices per product type of the imports from the sampled cooperating Chinese producers to the first independent customer on the Union market, established on a Cost, insurance, freight (CIF) basis, with appropriate adjustments for regular customs duties and post-importation costs.	70
The value shall not denote the time when the test result was produced.	The President shall prescribe the time-limits within which these pleadings are to be produced.	60
Information on the payment institution to be inspected:	Information on the passengers and cargo includes:	63
"""Specific vehicle ISOFIX"" is a category of Integral Enhanced Child Restraint System connecting to specific vehicle types."	Specific vehicle booster cushion Enhanced Child Restraint Systems shall fit:	62
b. Protective suits, gloves and shoes, specially designed or modified for defence against any of the following:	Remotely controlled articulated manipulators specially designed or modified for use with submersible vehicles and having any of the following:	65
"For the purposes of paragraphs 1, 5 and 7, ""the agreement of the Union within the Partnership Council"" means:"	made with the agreement of the Union within the Partnership Council;	67
In this case, the number of people living in dwellings is estimated based on the average dwelling floor space per person living in dwellings FSI.	In this case the number of people living in dwellings for a building is estimated based on the volume of the building as described in Case 1B with the total number of people living in dwellings estimated as follows:	67
Request for current position (polling)	Response to a request for the current position of the VMS terminal (polling)	67
travel expenses due to staff (including members of their family) on taking up duty, on transfer to another place of employment, or on leaving the institution,	installation and resettlement allowances due to staff obliged to change their place of residence on taking up duty, on transfer to a new place of employment and on finally leaving the institution and resettling elsewhere,	66
The 2016 Global Strategy for the European Union ’ s Foreign and Security Policy (the ‘ EU Global Strategy ’) emphasises that the Union will step up its contribution to collective security.	In its 2016 Global Strategy for the European Union ’ s Foreign and Security Policy, the Union commits itself to promoting a rules-based global order.	64
Province of Guipúzcoa	Province of Nova Scotia:	67
When Member States include, in their CAP Strategic Plans, interventions in the fruit and vegetables sector, in the wine sector, in the hops sector, in the olive oil and table olives sector or in other sectors referred to in Article 42, point (f), of Regulation (EU) 2021/2115, in the form of ‘ green harvesting ’ for these sectors and ‘ non-harvesting ’ for these sectors except for wine, Member States shall ensure that these interventions are additional to and different from normal cultivation practices, and that they concern 100% of the expected production of the product concerned in a given parcel.	When Member States include, in their CAP Strategic Plans, mutual funds interventions in the fruit and vegetables sector, in the hops sector, in the olive oil and table olives sector or in other sectors referred to in Article 42, point (f), of Regulation (EU) 2021/2115, they shall provide the implementing conditions for the administrative cost of setting up, for filling and, where appropriate, the refilling of mutual funds.	67
Non-exhaustive list of the equivalent programmes and actions of Serbia	The non-exhaustive list of the equivalent programmes and projects of the Republic of Moldova is provided in Annex II.	67
In view of the above, the Commission concluded that it is unlikely that the continuation of the existing measures would lead to a shortage in supply of high permeability types of GOES on the Union market.	However, as set out above, the Commission concluded that there is no evidence on file showing that the continuation of the measures would lead to a shortage of supply of high permeability types of GOES such as to undermine reaching the objectives as laid out in Tier 2 of the EU ’ s EcoDesign Regulation.	69
As soon as possible after the document initiating proceedings has been lodged, the President shall designate a Judge to act as Rapporteur in the case.	After the statement in intervention has been lodged, the President shall prescribe a time-limit within which the parties may reply to that statement.	60
The Commission shall be assisted by the Advisory Committee on Own Resources (ACOR) and by other committees where necessary.	The Commission shall be assisted by a committee referred to as the ‘ Fiscalis Programme Committee ’.	61
Member States shall provide the Commission with the available information necessary to enable it to perform the monitoring and evaluation of the CAP referred to in Article 141.	Member States shall not amend their support area on their own initiative after the date referred to in Article 118 (1).	60
2,1 μg/100 ml (marketed as such or reconstituted as instructed by the manufacturer)	(marketed as such or reconstituted according to the instructions)	66
Otherwise, the suspension and interruption of periods of limitation shall be governed by national law.	Questions concerning periods of limitation shall be governed as follows:	67
Institutions shall specify in the narrative accompanying this template which EEPE has been inserted.	Institutions shall specify the instrument to which it is most immediately subordinate.	60
Proper operation ’	Load operation	69
non-governmental organisations;	Conferences organisation	69
In the Agreed Record from the bilateral consultations between the Union and Norway for Skagerrak, the Union commits to limit its actual catches in the Skagerrak to 969 tonnes, while Norway agreed to transfer at least 95% of its quota to the North Sea to protect WBSS herring.	According to paragraph 13.11 of the Agreed Record from the bilateral consultations between the Union and Norway for Skagerrak, Norway and the Union should be able to fish up to 100% of their Skagerrak herring quota in the North Sea in order to protect WBSS herring.	69
for Section A, Subparts F and G:	for Section A, Subparts B, D, E, J, K, M, O and Q, the Agency;	62
To be counted against the catch limits of the Faroe Islands.	To be counted against the quota established by Norway.	65
Measures on European seabass fisheries in ICES divisions 8a and 8b	Measures on European eel fisheries in Union waters of the ICES area	65
[Insert updated details of the relevant regulatory fees or charges]	Former regulatory fees or charges	60
Justification to withhold the publication of specific parts of this quality check report in accordance with Article 2 (4) and listing of the parts that are requested to be withheld.	Justification for the request to withhold the publication of certain data in this report, together with a list of the specific parts requested to be withheld.	69
These rules of procedure do not cover review procedures undertaken by the Commission on its own initiative under Article 22 (2) of Regulation (EC) No 58/2003, nor procedures instituted by Member States under Article 22 (1) of that Regulation.	The rules of procedure for the review by the Commission of the legality of acts of executive agencies pursuant to Article 22 (1) of Regulation (EC) No 58/2003 are set out in the Annex.	61
The Commission shall inform the ESF + Committee in writing of the manner in which it has taken account of its opinions.	The Commission shall inform the Committee of the work of the ERA Forum on a regular basis.	63
The description of an indication of the uncertainties relating to the amount or timing of outflows of economic benefits for other provisions.	Indication of uncertainties of amount or timing of outflows, other provisions	68
6: Economic and social data in aquaculture Table 6.1: Economic and social variables for aquaculture data collection strategy	Text Box 5.2: Economic and social variables for fisheries data collection strategy	65
Regulation for the legalisation, certification and translation of documents.	Equipment for the identification, quantification and verification of all possible goods	60
The note shall be communicated to the EDPS at the time of the notification of the personal data breach.	The Parties shall communicate to each other information on their applicable laws and regulations.	62
ALBANIA	LITHUANIA	62
Council Decision 2013/768/CFSP of 16 December 2013 on EU activities in support of the implementation of the Arms Trade Treaty, in the framework of the European Security Strategy (OJ L 341, 18.12.2013, p. 56).	Council Decision (CFSP) 2017/915 of 29 May 2017 on Union outreach activities in support of the implementation of the Arms Trade Treaty (OJ L 139, 30.5.2017, p. 38).	68
Release mechanism for:	A mechanism or;	70
Multi-pilot helicopter (MPH) type rating	Multi-pilot helicopters.	69
Intensity of public aid	Intended publication.	64
PAR	PART 2	67
Consequently, the provisional measure should continue to be authorised.	That unique identifier should continue to be used.	63
Hours worked by employees ’;	Number of employees	60
The joint deployment of immigration liaison officers as referred to in Annex III;	The number of immigration liaison officers deployed to third countries.	67
Supporting capacity building in support of security and development (CBSD) actions.	Supporting capacity-building of military actors in support of development and security for development, in accordance with Article 9;	64
The average price of these exports first increased by 25% in 2018.	The average price of these exports first increased by 5% in 2018 before progressively decreasing to a lower level than in 2017 (-2%).	65
supplementing Regulation (EU) No 1380/2013 of the European Parliament and of the Council as regards the establishment of a de minimis exemption to the landing obligation for certain demersal fisheries in the Adriatic and south-eastern Mediterranean Sea	implementing Regulation (EC) No 1338/2008 of the European Parliament and of the Council as regards statistics on health care expenditure and financing	65
Laws and regulations referred to in Article 2 (2) concerning:	Correlation tables referred to in Article 7 (2)	69
Governance of security	Governance bodies	67
eligible costs shall not include value added tax.	This shall not include moveable assets.	68
The Parties shall refrain from any measures which would jeopardise the attainment of the objectives of this Agreement.	The Parties shall take all appropriate measures, whether general or particular, to ensure fulfilment of the obligations arising out of this Agreement and shall abstain from any measure which could jeopardise the attainment of the objectives of this Agreement.	62
Consequently, the extended duty should be collected retroactively as from the date on which the suspension took effect, that is 17 October 2019.	The extended duty should be collected as from the date provided for in the column headed ‘ Date of effect ’.	60
Subdivision 28.1	Subarea/division	69
Observed agent identifier	Observed refinery intake	65
After consulting the European Union Ecolabelling Board,	After consulting the European Economic and Social Committee,	70
Fishing zones: …	Fish boxes	62
It does not automatically imply a licence requirement.	Following the guidelines does not automatically mean that any legal requirements are met.	62
9 Definition of deformable barrier	Definitions of terms	63
Short-range devices operating within the conditions set out in this Decision should also comply with Directive 2014/53/EU of the European Parliament and of the Council.	Such restrictions shall comply with Directive 2002/58/EC of the European Parliament and of the Council.	69
ANNEX I Common indicators for general support from the ESF + strand under shared management	Article 40 Transitional provisions for the ESF + strand under shared management	67
The remaining sample of Union producers still represented 13% of the Union production and was representative for the Union industry, given the large number of Union producers.	The sampled Union producers accounted for 52% of Union production in the investigation period and was considered representative of the Union industry.	60
For complete but not stabilised property (sub-factor component)	For construction phase (sub-factor component)	69
Council Decision of 22 July 2003 setting up an Advisory Committee on Safety and Health at Work (OJ C 218, 13.9.2003, p. 1).	Council Decision 2008/381/EC of 14 May 2008 establishing a European Migration Network (OJ L 131, 21.5.2008, p. 7).	60
The Bank law is legally binding.	The authentic and legally binding texts are:	63
Deprivation of freedom	Description of the items	65
The seat of the Joint Undertaking shall be located in Luxembourg.	The members of the Joint Undertaking shall be:	70
This financial operation derogates from the way assigned revenue is managed under other Union Funds, where it is not netted off but recovered via a recovery order drawn up pursuant to Article 98 of Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council.	The Union ’ s financial assistance to the activities under this Regulation shall be implemented in accordance with Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council.	64
He/she may provide comments at the request of the Chair.	The evidence in the request shows the following.	60
Directive 2005/1/EC of the European Parliament and of the Council of 9 March 2005 amending Council Directives 73/239/EEC, 85/611/EEC, 91/675/EEC, 92/49/EEC and 93/6/EEC and Directives 94/19/EC, 98/78/EC, 2000/12/EC, 2001/34/EC, 2002/83/EC and 2002/87/EC in order to establish a new organisational structure for financial services committees (OJ L 79, 24.3.2005, p. 9)	Directive (EU) 2019/2161 of the European Parliament and of the Council of 27 November 2019 amending Council Directive 93/13/EEC and Directives 98/6/EC, 2005/29/EC and 2011/83/EU of the European Parliament and of the Council as regards the better enforcement and modernisation of Union consumer protection rules (OJ L 328, 18.12.2019, p. 7).	60
Box reference I.9 and I.11: delete as appropriate.	and/or [delete as appropriate]	62
Commission Decision of 9 July 2014 in case SA.38324 Restructuring aid for Alestis, OJ C 418, 21.11.2014, p. 1, rec. 38-39.	Commission Decision of 18 September 2013 on State Aid SA.36953 (2013/N), Port Authority of Bahía de Cádiz (OJ C 335, 16.11.2013, p. 1, recital 29).	60
By way of derogation from Article 75 (1), third subparagraph, of Regulation (EU) No 1306/2013, in respect of claim year 2021 Member States may pay advances of up to 70% for the direct payments listed in Annex I to Regulation (EU) No 1307/2013 and of up to 85% for the support granted under rural development as referred to in Article 67 (2) of Regulation (EU) No 1306/2013.	Pursuant to Article 75 (1), third subparagraph, of Regulation (EU) No 1306/2013, from 16 October to 30 November Member States may pay advances of up to 50% for direct payments under Regulation (EU) No 1307/2013 of the European Parliament and of the Council and prior to 1 December they may pay advances of up to 75% for area-related and animal-related support measures under Regulation (EU) No 1305/2013 of the European Parliament and the Council.	63
‘ low quality ’ means the input data profile does not demonstrate the required compliance with the applicable data quality indicators, in the case of a soft rule;	An alert shall indicate that the input data shall be rectified and the reason why the input data does not demonstrate the required compliance with the applicable data quality indicators.	68
under ‘ Header ’, the datasets listed in the third indent are amended as follows:	in Part I, the entry for Spain is amended as follows:	60
Under point (b) of Article 3 (1) of the decision of the Management Board of Europol of 1 May 2017, one of the posts for a Deputy Executive Director of Europol has been deemed to be vacant since 3 July 2020.	The decision of the Management Board of Europol of 1 May 2017 sets out the procedure for the extension of the term of office of the Executive Director of Europol.	60
The real rate of return of 2,5% is applied to the value of the stock at current prices since the increase in current value of dwellings is already taken account of in the PIM.	The same rate of return should be applied to the value of the land at current prices on which the owner-occupied dwellings are located.	66
marking of the boundaries of the AFP,	Processing on the basis of the law	65
Measurements to be made on the vehicle	Mass of the vehicle	63
Commission Implementing Regulation (EU) 2019/250 of 12 February 2019 on the templates for ‘ EC ’ declarations and certificates for railway interoperability constituents and subsystems, on the model of declaration of conformity to an authorised railway vehicle type and on the ‘ EC ’ verification procedures for subsystems in accordance with Directive (EU) 2016/797 of the European Parliament and of the Council and repealing Commission Regulation (EU) No 201/2011 (OJ L 42, 13.2.2019, p. 9).	Commission Implementing Regulation (EU) 2018/2066 of 19 December 2018 on the monitoring and reporting of greenhouse gas emissions pursuant to Directive 2003/87/EC of the European Parliament and of the Council and amending Commission Regulation (EU) No 601/2012 (OJ L 334, 31.12.2018, p. 1).	63
Sheets having a width of 600 mm or more and a thickness of 3 mm or less;	Initial relative permeability of 120000 or more and a thickness of 0,05 mm or less;	70
Pass/fail criteria: the receiver computes an authenticated valid position fix within 430 seconds.	Pass/fail criteria: the receiver detects the false data within 160 seconds and does not compute an authenticated valid position until the end of the test.	66
government loans (paragraphs B10 – B12); and	Investment components (paragraph 11 (b))	60
Systems, Equipment and Components	Acoustic systems, equipment and components, as follows:	68
This KPI shall be disclosed by taking into account compliance with the technical screening criteria for buildings as laid down in Sections 7.2, 7.3, 7.4, 7.5, 7.6 and 7.7 of Annex I to Climate Delegated Act.	A KPI shall be the proportion of loans associated with cars complying with the technical screening criteria in accordance with Section 6.5 of Annex I to Climate Delegated Act.	68
These types or attributes shall be indicated in the provisioning of the revocation lists.	The lysine content shall be indicated on the labelling of the additive.	64
Consultation of and provision of information to the DPO	Working methods and provision of information on medicinal products	64
Name of its representative:	Status of the parties ’ representatives	67
Explanation of changes in description of retirement benefit plan	The explanation of whether participants contribute to retirement benefit plans.	70
Household composition	Household weight	65
To establish the benchmark for gas, the Commission used the prices of gas for companies (industrial users) in Thailand published by the Energy Policy and Planning Office of the Ministry of Energy.	To establish the benchmark for electricity, the Commission used the industry ’ s electricity prices by consumption bands published on the website of the Turkish National Statistical Office.	60
Indicators to report on progress of the Pericles IV programme towards the achievement of the specific objective laid down in Article 2 are set out in the Annex.	time-bound indicators to report on an annual basis on the progress of the Programme towards achievement of the objectives referred to in Article 3 and set out in Annex V along impact pathways;	68
Commission Implementing Regulation (EU) 2021/546 of 29 March 2021 imposing a definitive anti-dumping duty and definitively collecting the provisional duty imposed on imports of aluminium extrusions originating in the People ’ s Republic of China (OJ L 109, 30.3.2021, p. 1); Commission Implementing Regulation (EU) 2021/582 of 9 April 2021 imposing a provisional anti-dumping duty on imports of aluminium flat-rolled products originating in the People ’ s Republic of China (OJ L 124, 12.4.2021, p. 40); Commission Implementing Regulation (EU) 2021/983 of 17 June 2021 imposing a provisional anti-dumping duty on imports of aluminium converter foil originating in the People ’ s Republic of China (OJ L 216, 18.6.2021, p. 142).	Commission Implementing Regulation (EU) 2021/635 of 16 April 2021 imposing a definitive anti-dumping duty on imports of certain welded pipes and tubes of iron or non-alloyed steel originating in Belarus, the People ’ s Republic of China and Russia following an expiry review pursuant to Article 11 (2) of Regulation (EU) 2016/1036 of the European Parliament and of the Council (OJ L 132, 19.4.2021, p. 145) and Commission Implementing Regulation (EU) 2020/508 of 7 April 2020 imposing a provisional anti-dumping duty on imports of certain hot rolled stainless steel sheets and coils originating in Indonesia, the People ’ s Republic of China and Taiwan (OJ L 110, 8.4.2020, p. 3).	67
De N704 volgend in oostelijke richting tot aan de N305.	De Groothuizenweg volgend in westelijke richting tot aan de Pastoor C.M. van Everdingenstraat.	60
collective equipment at company level;	Essential competence requirements at operational level	61
The appropriate security and integrity measures shall be implemented in the technical solution, in order to meet the requirements of the security plan provided for Article 42 (3) of Regulation (EU) 2019/817.	The first instalment shall be released subject to the entry into force of the loan agreement provided for in Article 8 (2) of Regulation (EU) 2020/672.	60
computer cables.	Computers	64
Left Full Palm	Left Lower Palm	69
In addition to the provisions of this introduction, the following information can be reminded:	For the purposes of this Regulation, the following definitions apply:	61
hours of operation, as appropriate;	an inspection of, as appropriate:	68
The data controller shall include in the data protection notices and records under Article 31 of the Regulation, published on its website and on the Intranet general information on the potential restrictions of data subjects' rights pursuant to Article 2 (2) of this decision.	EASA shall include a section in the data protection notices published on its website/intranet providing general information to data subjects on the potential for restriction of data subjects ’ rights pursuant to Article 2 (1).	70
Commission Implementing Decision (EU) 2018/1614 of 25 October 2018 laying down specifications for the vehicle registers referred to in Article 47 of Directive (EU) 2016/797 of the European Parliament and of the Council and amending and repealing Commission Decision 2007/756/EC (OJ L 268, 26.10.2018, p. 53).	Commission Implementing Decision (EU) 2019/1728 of 15 October 2019 on harmonised standards for toys drafted in support of Directive 2009/48/EC of the European Parliament and of the Council (OJ L 263, 16.10.2019, p. 32).	68
The Commission recalled that all imported product types compete with all product types produced by the Union producers.	The Commission established the figure on the basis of the information provided by the Union producers.	65
☐ a staff member of an international organisation	as a host country of an international intergovernmental organisation;	68
For hearings pertaining to the initiation stage of the investigation the request must be submitted within 15 days of the date of entry into force of this Regulation.	Unless otherwise specified, this information and supporting evidence must reach the Commission within 37 days of the date of entry into force of this Regulation.	67
It is of note that one of the sampled Union producers started restructuring during the IP.	Questionnaire replies were received from the three sampled Union producers and one distributor in the Union.	60
having regard to the amendments to the draft general budget adopted by Parliament on 21 October 2021,	Having regard to the consent of the European Parliament,	60
the removal order does not contain sufficient information	The report should not contain sensitive information.	70
Reduction and prevention of pollution/contamination	Objective and period of application	60
The second option took into account the very significant increase in the size of the EU market from 6,6 million tonnes during the initial IP to 17 millions tonnes during the RIP (+ 158%).	The Union industry increased their sales on the Union market from 12,3 million tonnes in 2017 to 13,2 million tonnes during the RIP (+ 7%).	70
as of 28 January 2022, Chapter III of Regulation (EU) 2019/6.	This Regulation should apply from 1 January 2022, as does Regulation (EU) 2018/848,	61
That Party shall inform the other Party immediately thereof.	A Party shall notify the other Party without undue delay of:	68
RWAs	NORWAY	60
whether or not equipped with prisms/lens, and	whether or not with parts of other metals,	62
fees for information-technology;	Requests for information	68
Counterparty credit risk exposure for SFT assets	Counterparty credit risk disclosure tables and templates: Instructions	64
b. A 'peak power' greater than 50 MW.	"An ""average output power"" greater than 30 W;"	64
Otherwise they shall be carried out when the second entry following the final adoption is made.	Ethics checks shall be carried out with the support of ethics experts.	61
On 16 November 2015, the Council adopted Decision (CFSP) 2015/2096 on the position of the Union at the Eighth Review Conference of the States Parties to the BTWC.	On 13 November 2017, the Council adopted Decision (CFSP) 2017/2074 concerning restrictive measures in view of the situation in Venezuela.	65
There shall thus be no pre-issuance advice. ’;	There shall be no hearings.	60
Data Centre and networking services	all payment and money transmission services;	63
The Party complained against shall arrange for the interpretation of oral submissions into the languages chosen by the Parties.	Reports and rulings of the arbitration panel shall be drafted in the language or languages chosen by the Parties.	60
promote the stability, integrity and transparency of the global financial system and good governance in the area of tax;	With a view to promoting the stability, integrity and transparency of the global financial system, the association may include cooperation on international financial services.	68
"Computers as follows and specially designed related equipment, ""electronic assemblies"" and components therefor:"	"4A001 Electronic computers and related equipment, having any of the following and ""electronic assemblies"" and specially designed components therefor:"	63
It shall publish that report before 1 March of the following year.	It is restricted for use in any of the following:	61
The Host State shall take all appropriate measures to ensure the safety and security of EUTM Somalia and EUTM Somalia personnel.	Each Member State shall take appropriate measures to ensure the proper enforcement of this Regulation.	62
pursuant to Article 25 (1) (h) of the Regulation, when processing whistleblowing cases and (formal and informal) procedures of harassment, in accordance with its respective internal rules;	pursuant to Article 25 (1) (h) of the Regulation, when ensuring that Agency ’ s staff members are able to report to confidential counsellors in the context of a harassment procedure, as defined by internal rules;	62
Total amount of investment costs related to the PEPP, charged during the reporting period.	The amount of investments accounted for using the equity method.	62
Forwards mainly exposed to mortality risk.	Collateralised securities mainly exposed to commodity risk.	69
CORE PERFORMANCE INDICATORS	CORE RECOMMENDATIONS	64
Standardised Approach	Standardised surname (s)	67
Sponsors with good track record and good financial standing	Sub-factor: sponsors ’ track record and financial strength	70
A copy of the endorsed contract shall be appended to the fishing authorisation application.	An amendment of any of the authorised quantities indicated in the fishing authorisation (s) shall be subject to a new application.	61
Taxis - numerical restrictions on the number of licences apply.	entails further restrictions on the marketing of the product.	61
Commission Implementing Regulation (EU) 2019/620 of 17 April 2019 granting Cape Verde a temporary derogation from the rules on preferential origin laid down in Delegated Regulation (EU) 2015/2446, in respect of prepared or preserved mackerel fillets and prepared or preserved frigate tuna or frigate mackerel fillets (OJ L 108, 23.4.2019, p. 1).	Commission Implementing Regulation (EU) No 543/2011 of 7 June 2011 laying down detailed rules for the application of Council Regulation (EC) No 1234/2007 in respect of the fruit and vegetables and processed fruit and vegetables sectors (OJ L 157, 15.6.2011, p. 1).	60
amending Implementing Regulation (EU) 2020/194 as regards the exchange of records held by taxable persons or their intermediaries and the designation of competent authorities responsible for coordinating administrative enquiries	amending Implementing Regulation (EU) 2020/977 as regards the period of application of the temporary measures in relation to controls on the production of organic products	61
That Guideline was recast in 2012 as Guideline ECB/2012/27 of the European Central Bank.	Guideline (EU) 2021/2041 of the European Central Bank	67
Each year, the Commission shall make the following Programme funds available to the national agency:	The Commission shall make this information available on the internet.	65
The subsidy is therefore specific under Article 4 (2) (a) of the basic Regulation.	The Commission examined the request in the light of Article 10 (4) of the basic Regulation.	66
The net outstanding notional values referred to in paragraph 1 shall be determined pursuant to the netting methodology of Article 5 (2).	The statistical information referred to in paragraph 1 shall be reported separately for the following:	61
The evidence in the request shows the following.	They shall require the following:	62
Estimate	Estonia	67
☐ Aid for research and development in the fishery and aquaculture sector (Art. 30)	Aid for research and development projects (Art. 25)	68
The whole test object shall be seen.	The security shall be released:	60
The correction for reflection from the railway vehicle body is given by:	The correction for absorption on the inner side of the obstacle is given by:	69
The Commission shall draw up an interim evaluation report to assess the performance of the Programme, including aspects such as effectiveness, efficiency, coherence, relevance, synergies within the Programme and Union added value.	The Commission shall carry out a mid-term evaluation to examine the effectiveness, efficiency, relevance, coherence and Union added value of each Fund by the end of 2024.	61
Some other component of the address.	The two-letter country code of the address.	68
Area type	Area code	67
Circumvention practices via Malaysia, which led to the imposition of anti-circumvention duties in January 2016 referred to in recital (5), further underlined the attractiveness of the Union market for Chinese exports.	The circumvention practices show the interest of the Chinese exporting producers in accessing the Union market without restrictions and thus the attractiveness of the Union market for Chinese exports.	64
The contribution to the Mechanism set out in Article 37 of this Regulation shall be considered to be a sufficient guarantee under Article 152 of the Financial Regulation.	Contributions to a mutual insurance mechanism may cover the risk associated with the recovery of funds due by recipients and shall be considered a sufficient guarantee under the Financial Regulation.	66
Disclosure of adjustments made when entity changed basis of disaggregation of insurance finance income (expenses) between profit or loss and other comprehensive income for contracts with direct participation features [line items]	if an entity chooses to disaggregate insurance finance income or expenses between profit or loss and other comprehensive income (see paragraph 88), to determine the amount of the insurance finance income or expenses included in profit or loss:	64
‘ disbursement ’ means any disbursement to a Member State under RRF loan agreement under Article 2 (2) (b) of Regulation (EU) 2020/2094 or as external assigned revenue under Article 3 (1) of Regulation (EU) 2020/2094;	The amounts referred to in point (a) (iv) of Article 2 (2) of Regulation (EU) 2020/2094 shall constitute external assigned revenue as set out in Article 3 (1) of that Regulation.	62
Aircraft, spacecraft, and parts thereof	Clocks and watches and parts thereof	64
Methods of operation of the system and information technology services provided by the platform	The Commission shall share with the Member State further details on the technical method of operation and the implementation of the information technology services provided by the platform.	61
To improve clarity and better inform the producers of grapevine products using authorised oenological processes, an additional column should be added in Table 1 of Part A of Annex I to Delegated Regulation (EU) 2019/934.	Although accepted by the OIV, cold treatments are currently not included in Table 1 of Part A of Annex I to Delegated Regulation (EU) 2019/934.	62
SAMUDERA PERKASA 12 [according to ICCAT], SAMUDRA PERKASA 12 [according to CCSBT, IOTC, SIOFA]	SUMMER REFER [according to GFCM, NEAFC, SIOFA], OKAPI MARTA [according to ICCAT, IOTC, NEAFC]	65
[number of days] following	one of the following:	68
The Agreement between the European Union and the United Kingdom of Great Britain and Northern Ireland concerning security procedures for exchanging and protecting classified information is hereby approved on behalf of the Union.	Agreement between Canada and the European Union on security procedures for exchanging and protecting classified information (OJ L 333, 15.12.2017, p. 2).	63
The privileges, immunities and facilities specified in Article 33 are granted exclusively in the interests of the proper conduct of proceedings.	Privileges, immunities and facilities shall be accorded to officials and other servants of the Union solely in the interests of the Union.	64
Two sampled exporting producers as well as one user provided comments.	The two sampled exporting producers also commented on the support to investments made.	68
The effect of non-subsidised imports from Indonesia and from third countries, the decrease in consumption, and the export performance of the Union industry, on the Union industry's negative developments in terms of especially profitability and financial indicators was only limited.	These factors are: imports from third countries, a decrease in consumption, the export performance of the Union industry, an increase in the cost of raw materials, and the competitive price behaviour of the Union industry.	63
Jindal Group	Nanshan Group	64
The Joint Undertaking should be able to reach an agreement with the consortium of private partners to sell such a supercomputer to another entity or decommission it.	The Joint Undertaking shall not be liable for any costs incurred after the transfer of ownership of the EuroHPC supercomputer or after its sale or decommissioning.	66
CMOS	LC-MS	67
The environmental risk assessment connected with the release of veterinary medicinal products containing or consisting of Genetically Modified Organisms (GMOs) within the meaning of Article 2 of Directive 2001/18/EC shall be provided in the dossier as a separate document.	In the case of veterinary medicinal products containing or consisting of genetically modified organisms (GMOs) the application shall also be accompanied by the documents required under Article 2 and Part C of Directive 2001/18/EC and the specific guidance dealing with GMOs.	63
The Commission noted that Ketong did not put forward any new arguments than those raised already with its comments to the provisional disclosure and which could have altered the conclusions as set out in recitals (45), (46) and (47).	The Commission noted also that Ketong did not provide any additional information that altered the conclusions set out in recital (93).	63
Aciturri Aeronáutica S.L.U., registered under Spanish law (registration number: BU12351), with its registered office in P.I. Bayas, calle Ayuelas, 22, 09200, Miranda de Ebro (Burgos), Spain	Industria de Turbo Propulsores S.A.U., registered under Spanish law (registration number: BI5062), with its registered office in Parque Tecnológico, Edificio 300, 48170 Zamudio, Spain	67
The Commission and each Participating State shall appoint one representative to the Governing Board.	The Commission and the Member States shall aim to achieve a balanced representation between men and women on the Governing Board.	68
Description of nature of goods or services that entity has promised to transfer	Description of nature of class of assets measured at fair value	63
« STD » – Standard tax rate;	« INT » – Intermediate tax rate;	70
expenditure incurred and payments made for support schemes under Regulation (EU) No 1307/2013 of the European Parliament and of the Council in respect of calendar year 2022 and before;	conferring protection under Article 99 of Regulation (EU) No 1308/2013 of the European Parliament and of the Council on the name ‘ Île-de-France ’ (PGI)	64
"Deuterium Fluoride-Carbon dioxide (DF-CO2) ""lasers"";"	"Hydrogen Fluoride (HF) ""lasers"";"	61
The characteristics of the absorbing material are given in Table 3 and Table 4 of this annex.	The masses of the main dummy components are presented in Table 2 of this annex.	62
Repayments of bonds, notes and debentures	[Refer: Notes and debentures issued]	60
Appropriations for headings	Appropriations as% of GNI	65
Administrative expenditure of the institutions	Expenditure on staff of the institution	68
Type approval and market surveillance	Security and surveillance	61
Mid-term review	Peer reviews	67
Reduction or termination of the grants	Selection and designation of the KICs	67
Management verifications and audits of projects carried out by international organisations	Communication of data to third countries or international organisations	65
The table for Costa Rica is deleted.	The above claim is rejected.	62
7 - 7,4%	6,9 - 7,3%	67
Organising or otherwise facilitating travelling for the purpose of terrorism	Travelling for the purpose of terrorism	66
consultation is necessary and proportionate for the purposes of the prevention, detection or investigation of a terrorist offence or other serious criminal offence;	the exact purpose of the consultation including the type of terrorist offence or other serious criminal offence;	65
Sustained employment -	trainee employees;	65
and flight operations, crew administration and flight planning;	Providers of health care system administration and financing	62
